track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,bpm,key,mode,danceability_%
Lavender Haze,Taylor Swift,1,2022,10,21,3763,488386797,51,97,A,Major,73
Link Up Metro Boomin  Don Toliver Wizkid feat BEAM  Toian  SpiderVerse Remix SpiderMan Across the SpiderVerse ,WizKid Toian Metro Boomin Don Toliver Beam,5,2023,6,2,197,32761689,3,101,F,Major,92
Efecto,Bad Bunny,1,2022,5,6,4004,1047480053,34,98,G,Minor,80
Erro Gostoso  Ao Vivo,Simone Mendes,1,2023,1,27,984,153454328,8,154,F,Major,59
Cupido,Tini,1,2023,2,14,1240,217672943,51,120,A,Major,91
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,457184829,72,150,B,Major,49
Unstoppable,Sia,1,2016,1,21,7681,939844851,119,174,A,Major,47
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,726434358,69,202,A,Major,34
Rich Flex,Drake 21 Savage,2,2022,11,4,4657,573633020,84,153,B,Minor,56
Easy On Me,Adele,1,2021,10,14,10195,1406111294,258,142,F,Major,60
Carto B,MC Caverinha KayBlack,2,2023,5,11,269,71573339,7,108,A,Minor,84
Danger Spider Offset  JID,Offset JID,2,2023,6,2,214,24975653,3,143,B,Major,83
Oi Balde  Ao Vivo,Z Neto  Crist,1,2023,2,14,845,145458418,12,108,D,Major,67
The Real Slim Shady,Eminem,1,2000,1,1,20763,1424589568,81,104,F,Minor,95
MERCHO,Migrantes LiL CaKe Nico Valdi,3,2022,12,16,1267,231332117,41,93,F,Minor,84
The Color Violet,Tory Lanez,1,2021,12,10,2585,415932686,3,105,F,Minor,65
Glimpse of Us,Joji,1,2022,6,10,6330,988515741,109,170,G,Major,44
Mejor Que Yo,Mambo Kingz DJ Luian Anuel Aa,3,2023,5,4,675,50847624,9,178,C,Minor,62
Curtains,Ed Sheeran,1,2023,5,5,715,39893489,37,176,F,Minor,50
UNFORGIVEN feat Nile Rodgers,Nile Rodgers LE SSERAFIM,2,2023,5,1,327,92035115,14,104,E,Minor,80
Haegeum,Agust D,1,2023,4,21,244,118810253,6,85,G,Major,70
Conexes de Mfia feat Rich ,Rich The Kid Matu,2,2023,4,30,385,77233241,17,117,F,Minor,77
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,206399629,15,80,nan,Major,52
Never Felt So Alone,Labrinth,1,2023,4,7,1730,117747907,46,98,F,Major,44
X SI VOLVEMOS,Karol G Romeo Santos,2,2023,2,2,2127,266624541,45,178,C,Minor,79
ceilings,Lizzy McAlpine,1,2022,4,8,3242,293186992,67,148,A,Major,51
Cupid,Fifty Fifty,1,2023,2,24,526,139681964,15,120,D,Major,77
I AM,IVE,1,2023,4,10,366,123132751,16,122,E,Minor,68
Cupid  Twin Ver FIFTY FIFTY  Spe,sped up 8282,1,1997,1,1,472,103762518,0,144,F,Major,74
Shorty Party,Cartel De Santa La Kelly,2,2023,3,4,432,162887075,8,96,D,Major,93
Super,SEVENTEEN,1,2023,4,24,271,91221625,16,137,G,Major,77
Slut Me Out,NLE Choppa,1,2022,4,22,816,190490915,21,121,F,Minor,94
Double Fantasy with Future,The Weeknd Future,2,2023,4,21,1169,96180277,36,119,A,Minor,60
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,185240616,26,96,D,Major,72
PROVENZA,Karol G,1,2022,4,21,6587,885093467,114,111,C,Major,87
Princess Diana with Nicki Minaj,Nicki Minaj Ice Spice,2,2023,4,14,1444,104992946,0,148,A,Major,90
Di Que Si,Grupo Marca Registrada Grupo Frontera,2,2023,2,3,356,147290338,4,182,A,Major,57
Shivers,Ed Sheeran,1,2021,9,9,10147,1302184087,234,141,D,Major,79
Igualito a Mi Ap,Fuerza Regida Peso Pluma,2,2022,12,30,265,158950978,8,145,E,Minor,76
Shoong feat LISA of BLACKPINK,TAEYANG Lisa,2,2023,4,25,351,76910644,16,110,B,Minor,76
Komang,Raim Laode,1,2022,8,16,158,137123880,5,134,G,Major,70
DESPECH,ROSAL,1,2022,7,28,7613,782369383,180,130,G,Major,92
Made You Look,Meghan Trainor,1,2022,10,21,3956,502574952,142,145,A,Major,84
Watch This  ARIZONATEARS Pluggnb Remix,sped up nightcore ARIZONATEARS Lil Uzi Vert,3,2023,2,5,1638,207033255,0,130,B,Minor,69
No Se Va,Grupo Frontera,1,2022,4,28,924,404887295,17,173,nan,Major,59
Punto G,Quevedo,1,2022,11,4,1985,381161027,34,92,B,Minor,75
Lovers Rock,TV Girl,1,2014,6,5,6339,466231982,3,105,F,Minor,56
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,357580552,18,175,G,Minor,59
Mami Chula,Quevedo Jhayco,2,2023,4,27,875,61105704,17,120,G,Minor,80
En Paris,El Chachito Junior H,2,2022,12,24,406,198275403,3,139,D,Minor,70
Set Me Free Pt2,Jimin,1,2023,3,17,340,168448603,4,132,nan,Minor,59
I Was Never There,The Weeknd Gesaffelstein,2,2018,3,29,4188,705469769,30,114,A,Major,32
Dont ever say love me feat RM of BTS,RM Colde,2,2023,5,4,105,34502215,5,145,B,Minor,54
Shut Down,BLACKPINK,1,2022,9,16,1524,482175240,53,110,nan,Major,82
